Sifra;NazivRobe;Kolicina;MPC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
VM20PW;PRIKLJUÈNICA EURO+KS 2P 10A 250V~1M PW;43.00;4.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
IA20GR;ŽARULJA LED 220V~4W GR;20.00;3.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
VE10PWXO;PRIKLJUÈNICA ŠUKO SA ZAŠT.KONT.16A250V~PW XO;15.00;3.90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SM11PWIN02;TIPKALO JEDNOPOLNO 16A 250V~1M PW IN 02;9.00;5.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
OS70PW;OKVIR SOFT 7M PW;52.00;5.60                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
OL40IW;OKVIR LINE 4M IW;7.00;3.65                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SM62PWCD;TIPKALO IZMJENIÈNO, POTEZNO 16A 250V~1M PW CD;6.00;8.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001062;INFRAC.DET.POKRETA 360° CRNI/311-102;2.00;13.15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
SE0116;MINIJATURNI PREKIDAÈ SH201-C20A;1.00;4.65                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SE0128;LED LAMPICA CRVENA 523R 230V;1.00;9.80                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
A9K01120;PREKIDAÈ MINIJATURNI K60N 6KA 1P 20A B;76.00;4.80                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
A9K02125;PREKIDAÈ MINIJATURNI K60N 6KA 1P 25A C;55.00;5.70                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
A9Z06440;STR.ZAŠ.SKL.ID K 4P 40A 300 MA TIP AC;9.00;56.25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE0202;ŽARULJA KUGLA P45 40W FR E27 230V MAT;8.00;1.25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
SE0206;ŽARULJA SPOT 25W R50 E14 230V GE;10.00;2.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE0210;ŽARULJA T25 ZA FRIŽIDER 15W E14 230V GE;22.00;2.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE0214;HALOGENA MR16 START 35W 12V GU5,3 M281;9.00;2.05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SE0218;HALOGENA LINEAR 100W 78MM R7S GE;14.00;5.60                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE0896;MINI LED DOWNLIGT 1W/PLED/60K220V;1.00;8.15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE0897;SVJETILJKA VODOTIJESNA MARINER 2X36 EB R LL;1.00;61.90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SE0899;REDNA STEZALJKA VS35 Ž-Z;3.00;10.60                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE0901;ELM TASTER EL2-BS 545;1.00;7.80                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
SE12WOU3000;LED PANEL 12W OKR.UGR.3000K;1.00;29.10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
33622;PROŠIRENI PRIKLJUÈCI 3P 630/1600A;4.00;266.10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE0791;LED ŽARULJA 6W E14 6500K;16.00;5.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE0815;STOPICA MUŠKA 1,25-187 CRVENA;100.00;0.10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LRD21;RELEJ TERMIÈKI 12...18A (D18-38);4.00;72.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SE0927;PRIGRADNJA ZA A1-18, NASTAVAK ZA GREB. NA DIN ŠINU;4.00;7.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PKF16G423;UTIÈ UGR.RAVNA 16 A 2P-E 220V IP44, VIJAK;2.00;8.60                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
LC1D25ND;SKLOPNIK 25A 3P 1NO+1NC 60V DC;6.00;146.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE0884;PHONOTEST;2.00;33.40                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SE0886;DOWNLIGHTER LED 24W SMD 6000K LENA;1.00;30.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
TM11PWIN01;TIPKA MO PW 1M IND ZVONO;20.00;1.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SE0889;LED PANEL NAADGRADNI KVADRATNI 20W 6000K;4.00;44.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE0930;VRSTNA SPONKA VSU 70;4.00;11.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
SE0933;SET NADGRADNI ZA LED PANEL;1.00;42.55                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SE0937;KABELSKA KANALICA KP 60/100 L=2M;10.00;10.40                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE0949;ISPITIVAÈ HAUPA 150-250V;1.00;3.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
M2094;LAMPA ZIDNA LED 5W 2700K;1.00;102.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
GV2MC02;KUÆIŠTE GV2-M IP55;1.00;18.95                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
49819;ISFT400 RASTAVNA SKLOPKA-OSIGURAÈ M10 PR;2.00;291.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE0875;SVJETILJKA PARKOVSKA E27 MACAO;15.00;237.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE0876;PROPALJIVAÈ 70-400W MH VOSSLOH;2.00;11.45                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SE0877;SVJETILJKA 2X18W LED IP65;1.00;127.90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
